Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,BatteryLevel,N Pkt,Yaw [degree] (V),Pitch [degree] (AP),Roll [degree] (ML),Force [N],Timestamp,ID Crutch,
,-0.141723633,0.076293945,-0.978393555,-4.88E-04,-0.427246094,2.197265625,100,1090,290,44.49194,152.91206,68,10900,257
,-0.143188477,0.092529297,-0.981933594,-4.88E-04,-0.427246094,1.525878906,100,1091,290,44.395073,152.98297,69,10910,257
,-0.142333984,0.107910156,-0.98059082,-7.32E-04,-0.366210938,0.305175781,100,1092,290,44.30185,153.06036,68,10920,257
,-0.136962891,0.11328125,-0.976806641,-7.32E-04,-0.305175781,-0.9765625,100,1093,290,44.21307,153.14732,67,10930,257
,-0.131958008,0.098022461,-0.978637695,-6.10E-04,-0.183105469,-1.770019531,100,1094,290,44.127098,153.24313,67,10940,257
,-0.133178711,0.067138672,-0.978759766,-4.88E-04,-0.061035156,-1.46484375,100,1095,290,44.041866,153.34465,67,10950,257
,-0.138549805,0.043945313,-0.986450195,-1.22E-04,-0.183105469,0.061035156,100,1096,290,43.95309,153.4385,67,10960,257
,-0.142944336,0.045898438,-0.98815918,1.22E-04,-0.671386719,2.075195313,100,1097,290,43.859673,153.51382,67,10970,257
,-0.138793945,0.064208984,-0.985473633,2.44E-04,-0.793457031,3.234863281,100,1098,290,43.76063,153.57669,66,10980,257
,-0.13293457,0.084838867,-0.978759766,4.88E-04,-0.549316406,2.563476563,100,1099,290,43.66007,153.64207,66,10990,257
,-0.134643555,0.096679688,-0.981689453,4.88E-04,-0.48828125,1.708984375,100,1100,290,43.561825,153.71274,66,11000,257
,-0.141967773,0.105224609,-0.98046875,3.66E-04,-0.48828125,0.854492188,100,1101,290,43.467,153.78876,67,11010,257
,-0.148925781,0.124023438,-0.977172852,6.10E-04,-0.305175781,-0.183105469,100,1102,290,43.37418,153.87306,67,11020,257
,-0.155761719,0.132202148,-0.974487305,4.88E-04,-0.183105469,-1.708984375,100,1103,291,43.286274,153.96791,67,11030,257
,-0.158081055,0.128417969,-0.973388672,4.88E-04,-0.061035156,-3.295898438,100,1104,291,43.204475,154.07701,67,11040,257
,-0.156982422,0.112304688,-0.973388672,3.66E-04,0.122070313,-4.516601563,100,1105,291,43.127518,154.19934,68,11050,257
,-0.155273438,0.092285156,-0.974731445,3.66E-04,0.244140625,-5.126953125,100,1106,291,43.05349,154.3307,68,11060,257
,-0.154174805,0.066894531,-0.978393555,6.10E-04,0.427246094,-4.455566406,100,1107,291,42.978954,154.46555,67,11070,257
,-0.148803711,0.048950195,-0.98059082,6.10E-04,0.305175781,-3.41796875,100,1108,291,42.89997,154.59082,68,11080,257
,-0.14453125,0.037475586,-0.982788086,8.54E-04,0.305175781,-2.380371094,100,1109,291,42.8171,154.7099,67,11090,257
,-0.14453125,0.028564453,-0.984619141,7.32E-04,0.366210938,-1.342773438,100,1110,291,42.729908,154.82114,68,11100,257
,-0.143554688,0.035522461,-0.986694336,7.32E-04,0.183105469,-0.610351563,100,1111,291,42.64096,154.92484,67,11110,257
,-0.138671875,0.044555664,-0.985473633,4.88E-04,0.122070313,-0.366210938,100,1112,291,42.550385,155.02283,67,11120,257
,-0.137329102,0.049194336,-0.984863281,1.22E-04,0.183105469,-0.427246094,100,1113,291,42.458385,155.11742,67,11130,257
,-0.135986328,0.047485352,-0.984375,-1.22E-04,0.183105469,-0.610351563,100,1114,292,42.36714,155.21223,68,11140,257
,-0.137084961,0.046630859,-0.982543945,-4.88E-04,0.183105469,-0.671386719,100,1115,292,42.27619,155.30568,68,11150,257
,-0.135986328,0.039672852,-0.981567383,-9.77E-04,0.244140625,-0.427246094,100,1116,292,42.185226,155.39717,68,11160,257
,-0.139892578,0.04284668,-0.986450195,-0.001220703,0.244140625,-0.610351563,100,1117,292,42.09378,155.48822,68,11170,257
,-0.141235352,0.059204102,-0.982910156,-0.001342773,0.244140625,-1.46484375,100,1118,292,42.004417,155.58124,67,11180,257
,-0.157714844,0.049926758,-0.988891602,-0.001708984,0.061035156,-0.183105469,100,1119,292,41.913113,155.66393,67,11190,257
,-0.152709961,0.049072266,-0.978759766,-0.001586914,0.122070313,1.037597656,100,1120,292,41.816338,155.73755,66,11200,257
,-0.147338867,0.052978516,-0.976318359,-0.001586914,0.183105469,1.770019531,100,1121,292,41.71517,155.804,66,11210,257
,-0.151733398,0.060791016,-0.982910156,-0.001586914,0.183105469,2.136230469,100,1122,292,41.611816,155.86577,66,11220,257
